iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
0,2025-12-25 22:07:36.523899,3.0509999999999993,3.0509999999999993,79.06646893465594,79.25981145882966,56.50568526484545,54.346807676349066,56.41604034877507,219.275416468142,1.0,1.0,296.61242613763324,1.0,1.0,0,0
1,2025-12-25 22:07:41.258250,3.25229337088512,3.2810045173300804,79.06969557875,79.26223090423727,56.690828901924064,54.576801826635595,56.60174270221198,218.30763830509895,1.0,1.0,295.32176850000843,1.0,1.0,0,0
2,2025-12-25 22:07:47.014016,3.452766688343929,3.5094102081670555,79.0729189710524,79.26464436001697,56.875141717307095,54.80519725932721,56.78661493256386,217.34225599321908,1.0,1.0,294.03241157903796,1.0,1.0,0,0
3,2025-12-25 22:07:52.952308,3.6524165585764607,3.736224425488944,79.07613902960097,79.26705185721693,57.058621695385575,55.032001326588,56.97065498168757,216.37925711322768,1.0,1.0,292.7443881596164,1.0,1.0,0,0
4,2025-12-25 22:07:58.183734,3.8512396142947156,3.96145451758916,79.07935569767388,79.26945339265839,57.24126680496968,55.25722137589557,57.153860776538934,215.4186429366436,1.0,1.0,291.4577209304494,1.0,1.0,0,0
5,2025-12-25 22:08:03.702969,4.049232519416629,4.1851078272154005,79.08256891836321,79.27184896322274,57.42307505008966,55.4808647491828,57.33623027913186,214.46041471091485,1.0,1.0,290.1724326547149,1.0,1.0,0,0
6,2025-12-25 22:08:09.446308,4.246391969521307,4.40719169116953,79.08577863457698,79.27423856584927,57.6040444703083,55.70293878243771,57.51776148685432,213.50457366029354,1.0,1.0,288.88854616920577,1.0,1.0,0,0
7,2025-12-25 22:08:15.314986,4.442714692309334,4.62771343989439,79.08898478904173,79.27662219753311,57.78417314104058,55.923450805290464,57.69845243279141,212.55112098675153,1.0,1.0,287.60608438330974,1.0,1.0,0,0
8,2025-12-25 22:08:20.286787,4.6381974480684764,4.846680397075303,79.09218732430509,79.27899985532301,57.9634591738686,56.14240814061476,57.878301186044204,211.60005787079743,1.0,1.0,286.3250702779724,1.0,1.0,0,0
9,2025-12-25 22:08:25.975545,4.832837030144499,5.0640998792229786,79.09538618273848,79.28137153631887,58.141900716864996,56.3598181041108,58.057305852056864,210.65138547245581,1.0,1.0,285.0455269046076,1.0,1.0,0,0
10,2025-12-25 22:08:31.031119,5.026630265417397,5.279979195239122,79.09858130653947,79.2837372376691,58.319495954900844,56.57568800387097,58.23546457292875,209.70510493236247,1.0,1.0,283.767477384211,1.0,1.0,0,0
