iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,T41MiM
0,2024-06-13 18:42:04.793299,3.0509999999999993,3.0509999999999993,-15.24,-15.24,-15.24,-15.24,-15.24,1450.0,1.0,1450.0,1.0,0
1,2024-06-13 18:42:10.620783,3.364747310338268,3.2481728419515297,77.71089056501289,78.09886954336274,54.490973682758714,54.34660723729726,54.34743538299764,213.93606607871055,1.0,286.1669393185446,1.0,0
2,2024-06-13 18:42:16.037705,3.671706680238054,3.448975230608928,77.72142576920038,78.10417397424146,54.798965764409395,54.54380094307692,54.66112571087362,212.94852887749113,1.0,284.20557790288825,1.0,0
3,2024-06-13 18:42:20.300612,3.9730355490850666,3.652260528590001,77.73184060322329,78.10954460226385,55.101232666602314,54.74461778998197,54.96803862069711,211.94866761295918,1.0,282.2666260572955,1.0,0
4,2024-06-13 18:42:25.177488,4.269386479439203,3.8573869850878624,77.74215289002028,78.11496355561667,55.39847476176433,54.94791390819682,55.26932702643835,210.93980951868002,1.0,280.3467656472929,1.0,0
5,2024-06-13 18:42:30.189829,4.5611953285259075,4.063929165027548,77.75237425762343,78.1204211601105,55.69114737595791,55.15304874088841,55.56564153782059,209.92375565910302,1.0,278.44383185737166,1.0,0
6,2024-06-13 18:42:35.356712,4.848784209364241,4.271574945075252,77.7625131310376,78.12591115960642,55.97958218154292,55.359597484289786,55.85741698053596,208.90167075295096,1.0,276.55625618642136,1.0,0
7,2024-06-13 18:42:40.875243,5.13240509219375,4.4800819539734755,77.772575984813,78.13142903903221,56.26403671594629,55.56724840701358,56.144974828241295,207.87439538083257,1.0,274.68283325362637,1.0,0
8,2024-06-13 18:42:45.053143,5.412262971912664,4.689254453077714,77.78256799949959,78.13697133657037,56.54471948834151,55.77575940217943,56.42856662086847,206.8425740366984,1.0,272.82259858496917,1.0,0
9,2024-06-13 18:42:50.978573,5.688529467850313,4.898929779961343,77.79249344420339,78.14253528447517,56.82180446771555,55.98493492038162,56.70839704612855,205.80672199767008,1.0,270.9747573918744,1.0,0
10,2024-06-13 18:42:57.748785,5.961351417859189,5.108969791167946,77.80235591676629,78.14811860129554,57.095440130910205,56.194612440779274,56.98463749421723,204.76726400634968,1.0,269.1386398564531,1.0,0
11,2024-06-13 18:43:02.356580,6.2308566214479,5.319255150046815,77.812158503309,78.15371936219881,57.36575545809323,56.404653929537254,57.25743462617835,203.72455841293723,1.0,267.3136714290403,1.0,0
12,2024-06-13 18:43:07.040926,6.497157849317661,5.529681343118187,77.82190388899086,78.15933591324352,57.632864092104725,56.61494013722248,57.5269161013554,202.678913135246,1.0,265.4993522077978,1.0,0
13,2024-06-13 18:43:12.865285,6.762217511367896,5.743943104133954,77.83600952274622,78.17330159571029,57.8982431987281,56.82538963317302,57.79320819931183,200.078892267482,1.0,262.87327631036874,1.0,0
14,2024-06-13 18:43:17.652690,7.024285211263324,5.9581177146258515,77.8457261250264,78.17902702701535,58.16109580013357,57.03965086072938,58.058246009276466,199.01297651967386,1.0,261.0643157563563,1.0,0
15,2024-06-13 18:43:24.532937,7.283440349705665,6.172133306660575,77.85539318127113,78.18476422686724,58.421035531526215,57.25382449832419,58.32029264017682,197.94486979643185,1.0,259.2645792933544,1.0,1
16,2024-06-13 18:43:29.684743,7.539755681712638,6.3859245269799505,77.86501232671826,78.19051221702443,58.67813538281383,57.46783871866851,58.5794274292414,196.87475421905125,1.0,257.4737624856431,1.0,1
17,2024-06-13 18:43:35.117575,7.793298254022382,6.599431610926019,77.87458505008034,78.19627010903022,58.93246258352872,57.681628203687026,58.83572307678014,195.80279519342002,1.0,255.6915881764377,1.0,1
18,2024-06-13 18:43:40.795579,8.044130163155902,6.8125996343048225,77.88411271376224,78.20203709084889,59.18407937281072,57.895133219468036,59.089246581931185,194.72914389794363,1.0,253.91780272392555,1.0,1
19,2024-06-13 18:43:47.116059,8.292309176121883,7.025377901490326,77.89359657033313,78.20781241615272,59.43304362900809,58.10829886891434,59.34005999945147,193.65393927806423,1.0,252.15217293462328,1.0,1
20,2024-06-13 18:43:53.651382,8.537889244494409,7.237719439186106,77.90303777610615,78.21359539559825,59.67940939046679,58.32107448045986,59.58822105943223,192.57730967030682,1.0,250.39448353525754,1.0,1
21,2024-06-13 18:43:59.525343,8.78092093457149,7.449580573271523,77.91243740244681,78.21938538964028,59.923227290795104,58.53341310231476,59.833783680596405,191.49937414016958,1.0,248.64453506742382,1.0,1
22,2024-06-13 18:44:05.481592,9.02145179062884,7.660920571837886,77.92179644527938,78.22518180254865,60.16454492606695,58.74527107969815,60.07679839983382,190.42024359600586,1.0,246.9021421177854,1.0,1
